c01001,m33860
c01007,m13820
c01009,m13820
c01015,m11500
c01021,m13820
c01033,m22460
c01051,m33860
c01055,m23460
c01061,m20020
c01063,m46220
c01065,m46220
c01067,m20020
c01069,m20020
c01073,m13820
c01077,m22460
c01079,m19460
c01081,m12220
c01083,m26620
c01085,m33860
c01089,m26620
c01097,m33660
c01101,m33860
c01103,m19460
c01113,m17980
c01115,m13820
c01117,m13820
c01125,m46220
c01127,m13820
c04005,m22380
c04013,m38060
c04019,m46060
c04021,m38060
c04025,m39140
c04027,m49740
c05007,m22220
c05025,m38220
c05031,m27860
c05033,m22900
c05035,m32820
c05045,m30780
c05047,m22900
c05051,m26300
c05053,m30780
c05069,m38220
c05079,m38220
c05085,m30780
c05087,m22220
c05091,m45500
c05105,m30780
c05111,m27860
c05119,m30780
c05125,m30780
c05131,m22900
c05143,m22220
c06007,m17020
c06013,m41860
c06017,m40900
c06019,m23420
c06025,m20940
c06029,m12540
c06031,m25260
c06037,m31100
c06039,m31460
c06041,m41860
c06047,m32900
c06053,m41500
c06055,m34900
c06059,m31100
c06061,m40900
c06065,m40140
c06067,m40900
c06069,m41940
c06071,m40140
c06073,m41740
c06075,m41860
c06077,m44700
c06079,m42020
c06081,m41860
c06083,m42060
c06085,m41940
c06087,m42100
c06089,m39820
c06095,m46700
c06097,m42220
c06099,m33700
c06101,m49700
c06107,m47300
c06111,m37100
c06113,m40900
c06115,m49700
c08001,m19740
c08005,m19740
c08013,m14500
c08014,m19740
c08019,m19740
c08031,m19740
c08035,m19740
c08039,m19740
c08041,m17820
c08047,m19740
c08059,m19740
c08069,m22660
c08077,m24300
c08093,m19740
c08101,m39380
c08119,m17820
c08123,m24540
c09001,m14860
c09003,m25540
c09007,m25540
c09009,m35300
c09011,m35980
c09013,m25540
c10001,m20100
c10003,m37980
c11001,m47900
c12001,m23540
c12003,m27260
c12005,m37460
c12009,m37340
c12011,m33100
c12015,m39460
c12019,m27260
c12021,m34940
c12031,m27260
c12033,m37860
c12039,m45220
c12041,m23540
c12053,m45300
c12057,m45300
c12061,m46940
c12065,m45220
c12069,m36740
c12071,m15980
c12073,m45220
c12081,m42260
c12083,m36100
c12085,m38940
c12086,m33100
c12089,m27260
c12091,m23020
c12095,m36740
c12097,m36740
c12099,m33100
c12101,m45300
c12103,m45300
c12105,m29460
c12109,m27260
c12111,m38940
c12113,m37860
c12115,m42260
c12117,m36740
c12127,m19660
c12129,m45220
c13007,m10500
c13013,m12060
c13015,m12060
c13021,m31420
c13025,m15260
c13027,m46660
c13029,m42340
c13033,m12260
c13035,m12060
c13045,m12060
c13047,m16860
c13051,m42340
c13053,m17980
c13057,m12060
c13059,m12020
c13063,m12060
c13067,m12060
c13073,m12260
c13077,m12060
c13079,m31420
c13083,m16860
c13085,m12060
c13089,m12060
c13095,m10500
c13097,m12060
c13101,m46660
c13103,m42340
c13113,m12060
c13115,m40660
c13117,m12060
c13121,m12060
c13127,m15260
c13135,m12060
c13139,m23580
c13143,m12060
c13145,m17980
c13149,m12060
c13151,m12060
c13153,m47580
c13159,m12060
c13169,m31420
c13171,m12060
c13173,m46660
c13177,m10500
c13179,m25980
c13183,m25980
c13185,m46660
c13189,m12260
